

Episode,TotalReward,PolicyLoss,ValueLoss
104,-29390.66485849023,0.0034210134763270617,0.5955331325531006
105,-29382.810942709446,-0.006013419944792986,0.5948857069015503
106,-29377.21223397553,-0.006184814963489771,0.5937733054161072
107,-29397.170063108206,-0.0034731109626591206,0.594089686870575
108,-29382.402278527617,0.0018405906157568097,0.5931466817855835
109,-29369.848139718175,0.007314998656511307,0.5909446477890015
110,-29381.47764956951,-0.0015127710066735744,0.5909022688865662
Scenario2

11,-32221.169119093567,-0.007689804770052433,0.7305680513381958
12,-32247.15003179945,0.03676963225007057,0.7103306651115417
13,-32251.20040806383,0.0077248504385352135,0.7000615000724792
14,-32264.921885825694,-0.04198767989873886,0.6945424675941467
15,-32301.42303040158,-0.07005628198385239,0.6904743313789368
16,-32305.42502048146,-0.06793943792581558,0.6865243911743164
